222 -6 5.5 0
222.008 -5.90915 5.48989 1
222 -6 4.5 0
222.007 -5.95161 4.49437 1
222 -6 4 0
222.004 -5.95908 3.99703 1
222 -6 3.5 0
222 -5.95643 3.5 1
222 -6 3 0
221.997 -5.94676 3.00256 1
222 -6 -15.5 0
221.99 -6.04076 -15.4482 1
224 -6 8.5 0
224 -5.85009 8.5 1
224 -6 6.5 0
223.999 -5.94044 6.49604 1
224 -6 6 0
223.997 -5.91355 5.99573 1
226 -6 9.5 0
226 -5.83823 9.5 1
226 -6 8.5 0
226 -5.90684 8.5 1
228 -6 15 0
228.042 -6 14.9714 1
228 -6 13.5 0
228.053 -6.00411 13.4921 1
228 -6 10 0
228 -5.82023 10 1
228 -6 9.5 0
228 -5.79823 9.5 1
228 -6 9 0
228 -5.88646 9 1
228 -6 -18 0
227.991 -5.96892 -17.9122 1
230 -6 16 0
230.014 -5.93398 15.9675 1
230 -6 8.5 0
230 -5.98359 8.5 1
230 -6 0 0
230.005 -6.00955 0.0190995 1
232 -6 -17 0
231.99 -5.9864 -16.8932 1
234 -6 17 0
234.002 -5.92118 16.9974 1
234 -6 16.5 0
233.998 -5.94011 16.503 1
234 -6 -1 0
234.022 -6.00764 -0.881489 1
234 -6 -17 0
233.996 -5.9757 -16.84 1
236 -6 21 0
236.009 -5.96141 20.9703 1
236 -6 20.5 0
236.015 -5.99319 20.4868 1
236 -6 -9.5 0
236.021 -5.98549 -9.37867 1
236 -6 -17 0
235.996 -5.9691 -16.9259 1
238 -6 23.5 0
237.988 -5.9219 23.511 1
238 -6 21 0
237.965 -5.90998 21.0122 1
238 -6 20.5 0
237.95 -5.86844 20.5112 1
238 -6 16 0
238 -5.9979 16 1
238 -6 -9.5 0
238.008 -6.00249 -9.43864 1
238 -6 -10 0
238.022 -5.98788 -9.93291 1
240 -6 26 0
240 -5.81798 26 1
240 -6 25 0
240 -5.78964 25 1
240 -6 24.5 0
240 -5.83806 24.5 1
240 -6 24 0
240 -5.84493 24 1
240 -6 23.5 0
240 -5.85315 23.5 1
240 -6 16 0
240 -6 16 1
240 -6 -4 0
240 -6 -4 1
242 -6 24.5 0
242 -5.88008 24.5 1
242 -6 24 0
242 -5.85473 24 1
242 -6 4 0
242.087 -6.03559 4.02844 1
242 -6 0.5 0
242.05 -5.98019 0.493127 1
244 -6 29.5 0
243.961 -5.9499 29.4915 1
244 -6 29 0
243.979 -5.93915 28.993 1
244 -6 26.5 0
243.983 -5.78151 26.5332 1
244 -6 6 0
243.952 -6.00688 6.09786 1
